i x y side frame field experiment
34 984 533 dx 2 0 .
35 990 548 dx 2 0 .
36 998 567 dx 2 0 .
37 1000 587 dx 2 0 .
38 1011 603 dx 2 0 .
39 1021 621 dx 2 0 .
40 1032 632 dx 2 0 .
41 1040 649 dx 2 0 .
42 1027 663 dx 2 0 .
43 1013 673 dx 2 0 .
44 1003 690 dx 2 0 .
45 982 689 dx 2 0 .
46 988 702 dx 2 0 .
47 1009 706 dx 2 0 .
48 1015 722 dx 2 0 .
49 999 731 dx 2 0 .
50 982 738 dx 2 0 .
51 969 749 dx 2 0 .
52 967 727 dx 2 0 .
53 960 718 dx 2 0 .
54 944 725 dx 2 0 .
55 938 739 dx 2 0 .
56 960 738 dx 2 0 .
57 962 758 dx 2 0 .
58 943 766 dx 2 0 .
59 938 788 dx 2 0 .
60 951 803 dx 2 0 .
61 962 819 dx 2 0 .
62 947 833 dx 2 0 .
63 956 852 dx 2 0 .
64 979 852 dx 2 0 .
65 990 867 dx 2 0 .
66 1002 878 dx 2 0 .
67 1004 899 dx 2 0 .
68 985 894 dx 2 0 .
69 967 883 dx 2 0 .
70 946 885 dx 2 0 .
71 930 892 dx 2 0 .
72 925 911 dx 2 0 .
73 932 928 dx 2 0 .
74 945 943 dx 2 0 .
75 967 943 dx 2 0 .
76 981 956 dx 2 0 .
77 986 972 dx 2 0 .
78 999 983 dx 2 0 .
79 1002 965 dx 2 0 .
80 1017 955 dx 2 0 .
81 1018 976 dx 2 0 .
82 1028 992 dx 2 0 .
83 1026 1013 dx 2 0 .
84 1013 1025 dx 2 0 .
85 1005 1039 dx 2 0 .
86 1026 1042 dx 2 0 .
87 1015 1055 dx 2 0 .
88 1007 1067 dx 2 0 .
89 1004 1086 dx 2 0 .
90 987 1096 dx 2 0 .
91 968 1094 dx 2 0 .
92 961 1113 dx 2 0 .
93 942 1119 dx 2 0 .
94 922 1125 dx 2 0 .
95 903 1131 dx 2 0 .
96 884 1136 dx 2 0 .
97 875 1153 dx 2 0 .
98 884 1172 dx 2 0 .
99 886 1194 dx 2 0 .
0 633 9 sx 2 0 .
1 619 20 sx 2 0 .
2 614 37 sx 2 0 .
3 594 39 sx 2 0 .
4 583 57 sx 2 0 .
5 593 74 sx 2 0 .
6 601 92 sx 2 0 .
7 617 103 sx 2 0 .
8 621 122 sx 2 0 .
9 618 144 sx 2 0 .
10 615 161 sx 2 0 .
11 600 154 sx 2 0 .
12 580 152 sx 2 0 .
13 577 136 sx 2 0 .
14 557 136 sx 2 0 .
